label,score,system_verdict,title_a,title_b,starts_a,starts_b,venue_a,venue_b,source_a,source_b,fingerprint_a,fingerprint_b
,0.765,adjudicate:same,OK Platz Sommerfest,OK Platz Sommerfest,2026-07-03T14:00:00+02:00,2026-07-03T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,ok platz sommerfest|2026-07-03|,ok platz sommerfest|2026-07-03|9661:1900
,0.765,adjudicate:same,Familiensonntag: Archäologie,Familien­sonntag – Archäologie,2026-07-05T10:00:00+02:00,2026-07-05T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,familiensonntag archaeologie|2026-07-05|,familiensonntag archaeologie|2026-07-05|9661:1900
,0.765,adjudicate:uncached,Open Sunday - voestalpine Open Space,OPEN SUNDAY voestalpine OPEN SPACE,2026-07-05T11:00:00+02:00,2026-07-05T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,open sunday voestalpine open space|2026-07-05|,open sunday voestalpine open space|2026-07-05|9661:1900
,0.765,adjudicate:same,Grafische Schätze aus der Sammlung Kastner,Grafische Schätze aus der Sammlung Kastner,2026-07-10T10:00:00+02:00,2026-07-10T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,grafische schaetze aus sammlung kastner|2026-07-10|,grafische schaetze aus sammlung kastner|2026-07-10|9661:1900
,0.75,adjudicate:uncached,Eucharistiefeier,Gottesdienst (Eucharistiefeier),2026-07-12T09:30:00+02:00,2026-07-12T09:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Pfarrkirche Linz-St. Magdalena,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Pfarre Urfahr - St. Magdalena (Diözese Linz),eucharistiefeier|2026-07-12|,gottesdienst eucharistiefeier|2026-07-12|
,0.75,adjudicate:uncached,Tanzoptikum 2026 Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-06T10:00:00+02:00,2026-07-06T10:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-06|9660:1900,tanzoptikum|2026-07-06|
,0.75,adjudicate:uncached,Tanzoptikum 2026 Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-08T10:00:00+02:00,2026-07-08T10:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-08|9660:1900,tanzoptikum|2026-07-08|
,0.75,adjudicate:uncached,Eucharistiefeier mit Pfarrvikar Dieter Reutershahn,Eucharistiefeier,2026-07-09T08:15:00+02:00,2026-07-09T08:00:00+02:00,Pfarrkirche Linz-St. Magdalena,Pfarrkirche Linz-St. Theresia,Pfarre Urfahr - St. Magdalena (Diözese Linz),Pfarre Linz-St. Theresia (Diözese Linz),eucharistiefeier pfarrvikar dieter reutershahn|2026-07-09|,eucharistiefeier|2026-07-09|
,0.742,adjudicate:different,Gemein­sa­mes Monu­ment-Bau­en in der Som­mer­werk­statt ​„Give Peace a Chance“,Give Peace a Chance… Sommerwerkstatt 2026 im Lentos,2026-07-13T10:00:00+02:00,2026-07-13T10:00:00+02:00,Lentos Kunstmuseum Linz,LENTOS Kunstmuseum Linz,linztermine.at (open data XML),Kuddelmuddel (Kinderkulturzentrum),gemeinsames monument bauen sommerwerkstatt give peace chance|2026-07-13|,give peace chance sommerwerkstatt lentos|2026-07-13|
,0.74,adjudicate:uncached,Flohmarkt der Stadtbibliothek Urfahr,Flohmarkt der Stadtbibliothek Urfahr,2026-07-06T12:00:00+02:00,2026-07-06T10:00:00+02:00,Stadtbibliothek Urfahr,Stadtbibliothek Urfahr,linztermine.at (open data XML),Stadtbibliothek Linz,flohmarkt stadtbibliothek urfahr|2026-07-06|,flohmarkt stadtbibliothek urfahr|2026-07-06|9658:1901
,0.716,adjudicate:uncached,Romeo &amp;amp; Julia im Turm 20,Sommertheater am Pöstlingberg: Romeo und Julia,2026-07-03T19:30:00+02:00,2026-07-03T19:30:00+02:00,Turm 20 Theater- und Kulturverein,Turm 20,Kupfticket,linztermine.at (open data XML),romeo amp amp julia turm|2026-07-03|,sommertheater poestlingberg romeo julia|2026-07-03|
,0.716,adjudicate:uncached,Romeo &amp;amp; Julia im Turm 20,Sommertheater am Pöstlingberg: Romeo und Julia,2026-07-08T19:30:00+02:00,2026-07-08T19:30:00+02:00,Turm 20 Theater- und Kulturverein,Turm 20,Kupfticket,linztermine.at (open data XML),romeo amp amp julia turm|2026-07-08|,sommertheater poestlingberg romeo julia|2026-07-08|
,0.716,adjudicate:uncached,Romeo &amp;amp; Julia im Turm 20,Sommertheater am Pöstlingberg: Romeo und Julia,2026-07-09T19:30:00+02:00,2026-07-09T19:30:00+02:00,Turm 20 Theater- und Kulturverein,Turm 20,Kupfticket,linztermine.at (open data XML),romeo amp amp julia turm|2026-07-09|,sommertheater poestlingberg romeo julia|2026-07-09|
,0.716,adjudicate:uncached,Romeo &amp;amp; Julia im Turm 20,Sommertheater am Pöstlingberg: Romeo und Julia,2026-07-10T19:30:00+02:00,2026-07-10T19:30:00+02:00,Turm 20 Theater- und Kulturverein,Turm 20,Kupfticket,linztermine.at (open data XML),romeo amp amp julia turm|2026-07-10|,sommertheater poestlingberg romeo julia|2026-07-10|
,0.675,adjudicate:same,BAUERN | SCHACH | NOVELLEN (Theater),BAUERN | SCHACH | NOVELLEN,2026-07-04T00:00:00+02:00,2026-07-04T17:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,bauern schach novellen|2026-07-04|
,0.667,adjudicate:same,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Erinnerungscafé: Bauernkrieg 2026,2026-07-09T00:00:00+02:00,2026-07-09T14:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,erinnerungscafe bauernkrieg|2026-07-09|
,0.667,adjudicate:different,St. Florianer Orgelsommer: Matinée 'Bruckner und Leipzig',St. Florianer Orgelsommer,2026-07-12T00:00:00+02:00,2026-07-12T00:00:00+02:00,Stiftsbasilika St. Florian,Stiftsbasilika St. Florian,Pfarre Urfahr - St. Junia (Diözese Linz),Pfarre Urfahr - St. Magdalena (Diözese Linz),st florianer orgelsommer matinee bruckner leipzig|2026-07-12|,st florianer orgelsommer|2026-07-12|
,0.666,adjudicate:uncached,Gottesdienst (Eucharistiefeier),Gottesdienst nach Sommerordnung,2026-07-12T09:00:00+02:00,2026-07-12T09:00:00+02:00,Pfarrkirche Linz-St. Magdalena,"Urfahr-Christkönig - Pfarrkirche Linz-Christkönig, Linz",Pfarre Urfahr - St. Magdalena (Diözese Linz),Pfarre Linz Christkönig,gottesdienst eucharistiefeier|2026-07-12|,gottesdienst nach sommerordnung|2026-07-12|
,0.666,adjudicate:different,BRUCKNERFEST LINZ 26: Viscontis Senso Filmklassiker,Sehnsucht (FilmKlassiker),2026-09-20T16:00:00+02:00,2026-09-20T16:00:00+02:00,Moviemento Linz,Movie 1,Brucknerhaus,Moviemento,brucknerfest linz viscontis senso filmklassiker|2026-09-20|9662:1901,sehnsucht filmklassiker|2026-09-20|9661:1901
,0.666,adjudicate:same,Sehnsucht (FilmKlassiker),Viscontis Senso — Filmklassiker im Moviemento,2026-09-20T16:00:00+02:00,2026-09-20T16:00:00+02:00,Movie 1,Moviemento Linz,Moviemento,Brucknerhaus,sehnsucht filmklassiker|2026-09-20|9661:1901,viscontis senso filmklassiker moviemento|2026-09-20|9662:1901
,0.666,adjudicate:same,Sehnsucht (FilmKlassiker),Viscontis Senso — Filmklassiker,2026-09-20T16:00:00+02:00,2026-09-20T16:00:00+02:00,Movie 1,Moviemento Linz,Moviemento,Brucknerhaus,sehnsucht filmklassiker|2026-09-20|9661:1901,viscontis senso filmklassiker|2026-09-20|9662:1901
,0.626,adjudicate:different,Kaleidio: Jungschar- und Ministrant:innenlager,Kaleidio österreichweites Jungschar- und Ministrant*innen-Lager,2026-07-12T00:00:00+02:00,2026-07-12T09:00:00+02:00,Leoben,Leoben,Pfarre Urfahr - St. Magdalena (Diözese Linz),Katholische Jungschar Diözese Linz (Team Kinder),kaleidio jungschar ministrant innenlager|2026-07-12|,kaleidio oesterreichweites jungschar ministrant innen lager|2026-07-12|
,0.625,adjudicate:different,Jungscharlager Hl. Geist / St. Magdalena (Jungscharalm),Jungscharlager,2026-07-19T00:00:00+02:00,2026-07-19T00:00:00+02:00,Jungscharalm,Jungscharalm,Pfarre Urfahr - St. Junia (Diözese Linz),Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),jungscharlager hl geist st magdalena jungscharalm|2026-07-19|,jungscharlager|2026-07-19|
,0.617,adjudicate:uncached,communale oö 2026: Bauern­krieg 1626 – Zwischen Geschichte und Fiktion,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,2026-07-09T10:00:00+02:00,2026-07-09T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,communale ooe bauernkrieg zwischen geschichte fiktion|2026-07-09|,erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900
,0.6,adjudicate:uncached,Tanzoptikum 2026 – Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-04T15:00:00+02:00,2026-07-04T17:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-04|9660:1900,tanzoptikum|2026-07-04|
,0.6,adjudicate:uncached,Tanzoptikum 2026 – Coppelia.Exe - Almost Human,Tanzoptikum 2026,2026-07-05T15:00:00+02:00,2026-07-05T17:00:00+02:00,BlackBox Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),tanzoptikum coppelia exe almost human|2026-07-05|9660:1900,tanzoptikum|2026-07-05|
,0.586,adjudicate:different,Gottesdienst nach Sommerordnung,Sommerordnung der Gottesdienste (Christkönig),2026-07-12T09:00:00+02:00,2026-07-12T00:00:00+02:00,"Urfahr-Christkönig - Pfarrkirche Linz-Christkönig, Linz",Pfarrgemeinde Urfahr-Christkönig,Pfarre Linz Christkönig,Pfarre Urfahr - St. Junia (Diözese Linz),gottesdienst nach sommerordnung|2026-07-12|,sommerordnung gottesdienste christkoenig|2026-07-12|
,0.576,adjudicate:uncached,Eucharistiefeier,Wortgottesfeier mit Caritas-Haussammlung,2026-07-11T19:00:00+02:00,2026-07-11T19:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Pfarrkirche Linz-St. Theresia,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Pfarre Linz-St. Theresia (Diözese Linz),eucharistiefeier|2026-07-11|,wortgottesfeier caritas haussammlung|2026-07-11|
,0.576,adjudicate:uncached,Eucharistiefeier,Wortgottesfeier mit Caritas-Haussammlung,2026-07-12T09:30:00+02:00,2026-07-12T10:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Pfarrkirche Linz-St. Theresia,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Pfarre Linz-St. Theresia (Diözese Linz),eucharistiefeier|2026-07-12|,wortgottesfeier caritas haussammlung|2026-07-12|
,0.57,adjudicate:different,Abendmeditation,Dienstagabend im Mariendom,2026-07-07T19:30:00+02:00,2026-07-07T19:30:00+02:00,"Presbyterium Mariendom, Linz",Neuer Dom (Mariendom),Mariendom Linz,linztermine.at (open data XML),abendmeditation|2026-07-07|,dienstagabend mariendom|2026-07-07|
,0.569,adjudicate:uncached,Dienstags-Kajaktraining (Bewegt im Park),Fit im Kajak auf der Donau,2026-07-07T17:30:00+02:00,2026-07-07T17:30:00+02:00,"ASKÖ Kajakverein Donau Linz, Heilhamerweg 2, 4040 Linz",Bootshaus Donau Linz,ASKÖ Kajakverein Donau Linz,linztermine.at (open data XML),dienstags kajaktraining bewegt park|2026-07-07|,fit kajak donau|2026-07-07|
,0.566,adjudicate:different,nächste Folk Session - Mo 13.10. ab 19h,Nächste Gemeinderatssitzung,2026-10-13T19:00:00+02:00,2026-10-13T19:30:00+02:00,,,CulturCafé Smaragd (CC Smaragd),Marktgemeinde Altenberg (Altenberg bei Linz),naechste folk session mo ab h|2026-10-13|,naechste gemeinderatssitzung|2026-10-13|
,0.562,adjudicate:uncached,Carlos Motta: Pleas of Resistance,Wortgottesfeier mit Caritas-Haussammlung,2026-07-12T10:00:00+02:00,2026-07-12T10:00:00+02:00,OK Linz,Pfarrkirche Linz-St. Theresia,linztermine.at (open data XML),Pfarre Linz-St. Theresia (Diözese Linz),carlos motta pleas resistance|2026-07-12|,wortgottesfeier caritas haussammlung|2026-07-12|
,0.555,adjudicate:uncached,Eucharistiefeier,Sommer,2026-07-10T08:30:00+02:00,2026-07-10T08:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-10|,sommer|2026-07-10|
,0.555,adjudicate:uncached,Eucharistiefeier,Sommer,2026-07-09T08:00:00+02:00,2026-07-09T08:00:00+02:00,Pfarrkirche Linz-St. Theresia,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarre Linz-St. Theresia (Diözese Linz),linztermine.at (open data XML),eucharistiefeier|2026-07-09|,sommer|2026-07-09|
,0.55,adjudicate:uncached,Salsa Night,Standardtänze Practise,2026-07-08T20:00:00+02:00,2026-07-08T19:30:00+02:00,"Remembar, Linz",Sportunion Tanzsportklub Linz,LOVE2SALSA (Salsa & Bachata Workshops Linz),linztermine.at (open data XML),salsa night|2026-07-08|,standardtaenze practise|2026-07-08|
,0.55,adjudicate:uncached,Dienstags-Kajaktraining (Bewegt im Park),Dschungelbuch: Familien-Tanztheater,2026-07-07T17:30:00+02:00,2026-07-07T18:00:00+02:00,"ASKÖ Kajakverein Donau Linz, Heilhamerweg 2, 4040 Linz",Theater Maestro Linz,ASKÖ Kajakverein Donau Linz,linztermine.at (open data XML),dienstags kajaktraining bewegt park|2026-07-07|,dschungelbuch familien tanztheater|2026-07-07|
,0.55,adjudicate:uncached,Eucharistiefeier,Nacht der offenen Tür,2026-07-07T19:00:00+02:00,2026-07-07T19:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Abendgymnasium Linz,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-07|,nacht offenen tuer|2026-07-07|
,0.549,adjudicate:uncached,Eucharistiefeier,Peter Fellner: Glumpert,2026-07-12T09:30:00+02:00,2026-07-12T10:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,OK Linz,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-12|,peter fellner glumpert|2026-07-12|
,0.549,adjudicate:uncached,Eucharistiefeier,Die Zwerge freuen sich auf den Besuch,2026-07-12T09:30:00+02:00,2026-07-12T10:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Linz Linien Grottenbahn,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-12|,zwerge freuen sich besuch|2026-07-12|
,0.549,adjudicate:different,Sehnsucht,Viscontis Senso — Filmklassiker,2026-09-20T16:00:00+02:00,2026-09-20T16:00:00+02:00,Moviemento,Moviemento Linz,Moviemento,Brucknerhaus,sehnsucht|2026-09-20|9661:1901,viscontis senso filmklassiker|2026-09-20|9662:1901
,0.548,adjudicate:uncached,Carlos Motta: Pleas of Resistance,Eucharistiefeier,2026-07-12T10:00:00+02:00,2026-07-12T09:30:00+02:00,OK Linz,Pfarrgemeinde Urfahr-Hl. Geist,linztermine.at (open data XML),Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),carlos motta pleas resistance|2026-07-12|,eucharistiefeier|2026-07-12|
,0.547,adjudicate:uncached,Rainhard Fendrich - Klassik am Dom,Wudang Shan (Escape Room),2026-07-11T20:00:00+02:00,2026-07-11T20:00:00+02:00,Domplatz Linz,Escape Room Linz: Masters Of Escape,Klassik am Dom,linztermine.at (open data XML),rainhard fendrich klassik dom|2026-07-11|,wudang shan escape room|2026-07-11|
,0.547,adjudicate:uncached,Eucharistiefeier mit Pfarrvikar Dieter Reutershahn,Sommer,2026-07-09T08:15:00+02:00,2026-07-09T08:00:00+02:00,Pfarrkirche Linz-St. Magdalena,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarre Urfahr - St. Magdalena (Diözese Linz),linztermine.at (open data XML),eucharistiefeier pfarrvikar dieter reutershahn|2026-07-09|,sommer|2026-07-09|
,0.547,adjudicate:different,Sehnsucht,Viscontis Senso — Filmklassiker im Moviemento,2026-09-20T16:00:00+02:00,2026-09-20T16:00:00+02:00,Moviemento,Moviemento Linz,Moviemento,Brucknerhaus,sehnsucht|2026-09-20|9661:1901,viscontis senso filmklassiker moviemento|2026-09-20|9662:1901
,0.546,adjudicate:uncached,Prison Break (Escape Room),Rainhard Fendrich - Klassik am Dom,2026-07-11T20:00:00+02:00,2026-07-11T20:00:00+02:00,Escape Room Linz: Masters Of Escape,Domplatz Linz,linztermine.at (open data XML),Klassik am Dom,prison break escape room|2026-07-11|,rainhard fendrich klassik dom|2026-07-11|
,0.546,adjudicate:different,Gottesdienst nach Sommerordnung,Das Josef Sonntagsfrühstück,2026-07-12T09:00:00+02:00,2026-07-12T09:00:00+02:00,"Urfahr-Christkönig - Pfarrkirche Linz-Christkönig, Linz",Josef Linz,Pfarre Linz Christkönig,linztermine.at (open data XML),gottesdienst nach sommerordnung|2026-07-12|,josef sonntagsfruehstueck|2026-07-12|
,0.546,adjudicate:different,Gottesdienst nach Sommerordnung,Sunday Long Run mit Run Crew Linz,2026-07-12T09:00:00+02:00,2026-07-12T08:30:00+02:00,"Urfahr-Christkönig - Pfarrkirche Linz-Christkönig, Linz",Runners Store Linz,Pfarre Linz Christkönig,linztermine.at (open data XML),gottesdienst nach sommerordnung|2026-07-12|,sunday long run run crew linz|2026-07-12|
,0.546,adjudicate:uncached,Peter Fellner: Glumpert,Wortgottesfeier mit Caritas-Haussammlung,2026-07-12T10:00:00+02:00,2026-07-12T10:00:00+02:00,OK Linz,Pfarrkirche Linz-St. Theresia,linztermine.at (open data XML),Pfarre Linz-St. Theresia (Diözese Linz),peter fellner glumpert|2026-07-12|,wortgottesfeier caritas haussammlung|2026-07-12|
,0.546,adjudicate:different,BRUCKNERFEST LINZ 26: Viscontis Senso Filmklassiker,Sehnsucht,2026-09-20T16:00:00+02:00,2026-09-20T16:00:00+02:00,Moviemento Linz,Moviemento,Brucknerhaus,Moviemento,brucknerfest linz viscontis senso filmklassiker|2026-09-20|9662:1901,sehnsucht|2026-09-20|9661:1901
,0.545,adjudicate:uncached,Don Pasquale,Produktionspreis des 39. Internationalen Wettbewerbs für Choreografie Hannover 2025,2026-07-03T19:30:00+02:00,2026-07-03T20:00:00+02:00,Großer Saal Musiktheater,BlackBox,Landestheater Linz,linztermine.at (open data XML),don pasquale|2026-07-03|9660:1900,produktionspreis internationalen wettbewerbs choreografie hannover|2026-07-03|
,0.541,adjudicate:uncached,Heimstunde - Mittwoch 17:30-19:00,Kraxl Mittwoch,2026-07-08T17:30:00+02:00,2026-07-08T00:00:00+02:00,Pfarre Hl. Geist,boulderbar Linz,Pfadfinder*innengruppe Linz 12 – Urfahr (Linz 12),Boulderbar Linz,heimstunde mittwoch|2026-07-08|,kraxl mittwoch|2026-07-08|
